full_name,position,team
Emanuel Wilson,RB,SEA
Bucky Irving,RB,TB
Savion Williams,WR,GB
David Moore,WR,CAR
Rachaad White,RB,WAS
Garrett Wilson,WR,NYJ
Xavier Smith,WR,LAR
Kendall Milton,RB,CIN
Jamal Haynes,RB,CIN
Samaje Perine,RB,CIN
Christian Kirk,WR,SF
Bo Melton,WR,GB
Rashid Shaheed,WR,SEA
Ja'Kobi Lane,WR,BAL
Jeremiyah Love,RB,ARI
Deion Burks,WR,IND
Jakobi Meyers,WR,JAX
Devin Singletary,RB,NYG
Sincere McCormick,RB,SF
Carson Steele,RB,PHI
Dylan Laube,RB,LV
Phil Mafah,RB,DAL
Mario Williams,WR,LAR
Cyrus Allen,WR,KC
CJ Williams,WR,JAX
Wendell Smallwood,RB,WAS
Tim Jones,WR,JAX
Jaylen Waddle,WR,DEN
Rhamondre Stevenson,RB,NE
George Pickens,WR,DAL
Tank Bigsby,RB,PHI
Jaleel McLaughlin,RB,DEN
Dayton Wade,WR,BAL
Johnny Wilson,WR,PHI
Ashton Jeanty,RB,LV
Dare Ogunbowale,RB,LV
Dontayvion Wicks,WR,PHI
Michael Wilson,WR,ARI
Makai Lemon,WR,PHI
Coleman Bennett,RB,CHI
Nick Williams,WR,DEN
Allen Hurns,WR,MIA
Odell Beckham,WR,NYG
Davante Adams,WR,LAR
Phillip Dorsett,WR,LV
Stefon Diggs,WR,WAS
Myles White,WR,NYJ
Laquon Treadwell,WR,IND
Derrick Henry,RB,BAL
Chris Moore,WR,BAL
Demarcus Robinson,WR,SF
Kalif Raymond,WR,CHI
Jalen Richard,RB,LV
Christian McCaffrey,RB,SF
Alvin Kamara,RB,NO
Chris Godwin,WR,TB
Cooper Kupp,WR,SEA
JuJu Smith-Schuster,WR,NYG
James Conner,RB,ARI
Mack Hollins,WR,NE
Jeremy McNichols,RB,WAS
Elijah McGuire,RB,KC
Tim Patrick,WR,NYJ
Kendrick Bourne,WR,ARI
River Cracraft,WR,WAS
Saquon Barkley,RB,PHI
Glen Coffee,RB,SF
Garrett Scantling,WR,ATL
Al Riles,WR,IND
Calvin Ridley,WR,TEN
DJ Moore,WR,BUF
Dante Pettis,WR,BUF
Ito Smith,RB,DAL
Courtland Sutton,WR,DEN
Marquez Valdes-Scantling,WR,DAL
Ray-Ray McCloud,WR,CHI
Cedrick Wilson,WR,DET
Braxton Berrios,WR,NYG
Trent Sherfield,WR,BUF
Caleb Scott,WR,TEN
Justin Watson,WR,HOU
Shaq Roland,WR,CHI
Eldridge Massington,WR,NO
KhaDarel Hodge,WR,SF
DK Metcalf,WR,PIT
Marquise Brown,WR,PHI
Josh Jacobs,RB,GB
A.J. Brown,WR,NE
Deebo Samuel,WR,SF
David Montgomery,RB,HOU
Mecole Hardman,WR,BUF
Terry McLaurin,WR,WAS
Lil'Jordan Humphrey,WR,DEN
Greg Dortch,WR,DET
Justice Hill,RB,BAL
Travis Homer,RB,PIT
Ty Johnson,RB,BUF
Juwann Winfree,WR,HOU
Olamide Zaccheaus,WR,ATL
Scotty Miller,WR,CHI
Tom Kennedy,WR,DET
Trenton Irwin,WR,SF
Jerry Jeudy,WR,CLE
CeeDee Lamb,WR,DAL
D'Andre Swift,RB,CHI
Justin Jefferson,WR,MIN
Jalen Reagor,WR,MIA
Tee Higgins,WR,CIN
Brandon Aiyuk,WR,SF
Jonathan Taylor,RB,IND
Michael Pittman,WR,PIT
AJ Dillon,RB,CAR
Devin Duvernay,WR,ARI
Denzel Mims,WR,DAL
Van Jefferson,WR,WAS
KJ Hill,WR,LAC
Quez Watkins,WR,PHI
DeeJay Dallas,RB,JAX
Tyler Johnson,WR,DAL
Patrick Taylor,RB,SF
Rico Dowdle,RB,PIT
Benny LeMay,RB,CLE
Jauan Jennings,WR,MIN
K.J. Osborn,WR,TEN
Darnell Mooney,WR,NYG
Tavien Feaster,RB,ARI
Reggie Gilliam,RB,NE
Kristian Wilkerson,WR,ATL
DeVonta Smith,WR,PHI
Gary Brightwell,RB,CIN
Jaret Patterson,RB,LAC
Cornell Powell,WR,PIT
Travis Etienne,RB,NO
Amon-Ra St. Brown,WR,DET
Ihmir Smith-Marsette,WR,ARI
Tutu Atwell,WR,MIA
Ja'Marr Chase,WR,CIN
Terrace Marshall,WR,MIA
Kenny Gainwell,RB,TB
Nico Collins,WR,HOU
Rashod Bateman,WR,BAL
Javonte Williams,RB,DAL
Trey Sermon,RB,ATL
Tylan Wallace,WR,CLE
Elijah Moore,WR,PHI
Michael Carter,RB,TEN
Khalil Herbert,RB,SF
Micah Simon,WR,CAR
Joshua Palmer,WR,BUF
Kene Nwangwu,RB,NYJ
Ben Skowronek,WR,PIT
Simi Fehoko,WR,ARI
Brandon Smith,WR,PIT
DJ Turner,WR,HOU
Tarik Black,WR,DET
Michael Bandy,WR,DEN
Drake London,WR,ATL
Erik Ezukanma,WR,PHI
Pierre Strong,RB,GB
Jalen Tolbert,WR,MIA
Jahan Dotson,WR,ATL
Romeo Doubs,WR,NE
Zonovan Knight,RB,ARI
Calvin Austin,WR,NYG
Wan'Dale Robinson,WR,TEN
Dameon Pierce,RB,PHI
Tyler Allgeier,RB,ARI
Khalil Shakir,WR,BUF
Treylon Burks,WR,WAS
Alec Pierce,WR,IND
Jerome Ford,RB,WAS
John Metchie,WR,CAR
Jameson Williams,WR,DET
Kyren Williams,RB,LAR
Kenneth Walker,RB,KC
Brian Robinson,RB,ATL
Breece Hall,RB,NYJ
Christian Watson,WR,GB
Skyy Moore,WR,GB
Danny Gray,WR,PHI
Jalen Nailor,WR,LV
Tyquan Thornton,WR,KC
Jashaun Corbin,RB,DAL
Ronnie Rivers,RB,LAR
Kevin Austin,WR,NO
Isiah Pacheco,RB,DET
Tyler Goodson,RB,ATL
Velus Jones,WR,SEA
Jaylen Warren,RB,PIT
Ty Chandler,RB,NO
Samori Toure,WR,PHI
Tay Martin,WR,DET
Deven Thompkins,WR,LV
Julius Chestnut,RB,TEN
Raheem Blackshear,RB,DET
Jordan Mason,RB,MIN
Britain Covey,WR,PHI
Brittain Brown,RB,CHI
Montrell Washington,WR,HOU
Dareke Young,WR,LV
Lance McCutcheon,WR,TEN
Kaden Davis,WR,CHI
Brandon Johnson,WR,LV
Kendric Pryor,WR,CIN
Malik Davis,RB,DAL
Dennis Houston,WR,TB
Irv Charles,WR,SEA
KaVontae Turpin,WR,DAL
Maurice Alexander,WR,CHI
Evan Hull,RB,ARI
Jahmyr Gibbs,RB,DET
Chase Brown,RB,CIN
De'Von Achane,RB,MIA
Israel Abanikanda,RB,DAL
Parker Washington,WR,JAX
Jaxon Smith-Njigba,WR,SEA
Tyler Scott,WR,LAR
Trey Palmer,WR,NO
Puka Nacua,WR,LAR
Jalin Hyatt,WR,NYG
Josh Downs,WR,IND
DeMario Douglas,WR,NE
Tank Dell,WR,HOU
Kayshon Boutte,WR,NE
Sean Tucker,RB,TB
Tyjae Spears,RB,TEN
Bijan Robinson,RB,ATL
Lew Nichols,RB,PIT
Keaton Mitchell,RB,LAC
Zach Charbonnet,RB,SEA
Quentin Johnston,WR,LAC
Jordan Addison,WR,MIN
Kendre Miller,RB,NO
Zay Flowers,WR,BAL
Tre Tucker,WR,LV
Xavier Hutchinson,WR,HOU
Chris Rodriguez,RB,JAX
Ronnie Bell,WR,NO
Jayden Reed,WR,GB
Jalen Brooks,WR,ARI
Jared Wayne,WR,HOU
Mitch Tinsley,WR,CIN
Elijah Cooks,WR,CAR
Brycen Tremayne,WR,CAR
Carlos Washington,RB,MIA
Emari Demercado,RB,KC
Malik Heath,WR,ATL
Isaiah Winstead,WR,PIT
Jacob Saylors,RB,DET
Shedrick Jackson,WR,LV
Zavier Scott,RB,MIN
Xavier Gipson,WR,NYG
Jason Brownlee,WR,KC
Nikko Remigio,WR,KC
Chris Brooks,RB,GB
Tyrell Shavers,WR,BUF
Jordan Mims,RB,MIN
Owen Wright,RB,HOU
Ryan Miller,WR,NYG
Dylan Drummond,WR,ATL
Jalen Moreno-Cropper,WR,NO
Lucky Jackson,WR,DET
Jarquez Hunter,RB,LAR
Rasheen Ali,RB,BAL
Isaiah Davis,RB,NYJ
Frank Gore,RB,BUF
Ray Davis,RB,BUF
Will Shipley,RB,PHI
Audric Estime,RB,NO
MarShawn Lloyd,RB,GB
Jonathon Brooks,RB,CAR
Blake Corum,RB,LAR
Jawhar Jordan,RB,HOU
Trey Benson,RB,ARI
Isaiah Williams,WR,NYJ
Malik Washington,WR,MIA
Jacob Cowing,WR,SF
Malachi Corley,WR,CLE
Jalen McMillan,WR,TB
Rome Odunze,WR,CHI
Jordan Whittington,WR,LAR
Xavier Worthy,WR,KC
Adonai Mitchell,WR,NYJ
Troy Franklin,WR,DEN
Marvin Harrison,WR,ARI
Devontez Walker,WR,BAL
Roman Wilson,WR,PIT
Brian Thomas,WR,JAX
Malik Nabers,WR,NYG
Ladd McConkey,WR,LAC
Keon Coleman,WR,BUF
Jaylen Wright,RB,MIA
Cody Schrader,RB,DEN
Jalen Coker,WR,CAR
Kimani Vidal,RB,LAC
Isaac Guerendo,RB,SF
Dante Miller,RB,NYG
Tyrone Tracy,RB,NYG
Bub Means,WR,NO
Anthony Gould,WR,IND
Ryan Flournoy,WR,DAL
Tejhaun Palmer,WR,NE
Casey Washington,WR,CAR
Jha'Quan Jackson,WR,HOU
Cornelius Johnson,WR,BAL
Tahj Washington,WR,MIA
Devaughn Vele,WR,NO
Mason Tipton,WR,NO
Jeshaun Jones,WR,MIN
Xavier Weaver,WR,ARI
JaQuae Jackson,WR,LAC
Bryce Oliver,WR,TEN
Xavier Johnson,WR,CIN
Kameron Johnson,WR,TB
Ian Wheeler,RB,BUF
George Holani,RB,SEA
British Brooks,RB,HOU
Qadir Ismail,WR,CHI
Jabari Small,RB,DET
Terrell Jennings,RB,NE
Brashard Smith,RB,KC
Jaydon Blue,RB,DAL
Antwane Wells,WR,ATL
Damien Martinez,RB,GB
Jordan James,RB,SF
Dylan Sampson,RB,CLE
DJ Giddens,RB,IND
Raheim Sanders,RB,CLE
Woody Marks,RB,HOU
Ricky White,WR,SEA
Devin Neal,RB,NO
Nick Nash,WR,WAS
Ja'Quinden Jackson,RB,PHI
Tai Felton,WR,MIN
Tory Horton,WR,SEA
Elic Ayomanor,WR,TEN
Matthew Golden,WR,GB
Isaiah Bond,WR,CLE
Kaleb Johnson,RB,PIT
Jalen Royals,WR,KC
Omarion Hampton,RB,LAC
Tre' Harris,WR,LAC
Quinshon Judkins,RB,CLE
Emeka Egbuka,WR,TB
Donovan Edwards,RB,MIA
Kalel Mullings,RB,TEN
Luther Burden,WR,CHI
Xavier Restrepo,WR,TEN
Jimmy Horn,WR,CAR
Tetairoa McMillan,WR,CAR
TreVeyon Henderson,RB,NE
Travis Hunter,WR,JAX
Trevor Etienne,RB,CAR
Jacory Croskey-Merritt,RB,WAS
Kyle Monangai,RB,CHI
Isaac TeSlaa,WR,DET
Jaylin Noel,WR,HOU
Arian Smith,WR,NYJ
Dont'e Thornton,WR,LV
Efton Chism,WR,NE
Tahj Brooks,RB,CIN
LeQuint Allen,RB,JAX
Kyle Williams,WR,NE
Jordan Watkins,WR,SF
Jaylin Lane,WR,WAS
Robbie Ouzts,RB,SEA
KeAndre Lambert-Smith,WR,LAC
Konata Mumpfield,WR,LAR
Kaden Prather,WR,GB
Dominic Lovett,WR,DET
Junior Bergen,WR,SF
JP Richardson,WR,CHI
Stephen Gosnell,WR,BUF
Jordan Moore,WR,CIN
Courtney Jackson,WR,TEN
Joaquin Davis,WR,PIT
Josh Williams,RB,TB
Will Sheppard,WR,GB
Ahmani Marshall,RB,CLE
Bryson Green,WR,ARI
Luke Grimm,WR,LAC
Mac Dalena,WR,BUF
Ulysses Bentley,RB,IND
Coleman Owen,WR,IND
Josh Kelly,WR,HOU
Traeshon Holden,WR,DAL
Theo Wease,WR,MIA
Andrew Armstrong,WR,KC
AJ Henning,WR,MIA
Quincy Skinner,WR,NYJ
Dalen Cambre,WR,NYG
Da'Quan Felton,WR,NYJ
Nathan Carter,RB,ATL
Cam Camper,WR,NYJ
Quentin Skinner,WR,BUF
Chandler Brayboy,WR,JAX
Jakobie Keeney-James,WR,PIT
Anthony Tyus,RB,CAR
Dontae Fleming,WR,MIN
Kye Robichaux,RB,DET
Lan Larison,RB,NE
Ke'Shawn Williams,WR,CIN
Roc Taylor,WR,CAR
Tru Edwards,WR,LAR
Jordan Waters,RB,LAR
Brennan Presley,WR,LAR
Xavier Guillory,WR,BAL
Jacardia Wright,RB,SEA
Myles Price,WR,MIN
Jahdae Walker,WR,CHI
Gage Larvadain,WR,CLE
Jacoby Jones,WR,WAS
Kisean Johnson,WR,GB
Jimmy Holiday,WR,KC
Ja'seem Reed,WR,CAR
Luke Floriea,WR,CLE
Montorie Foster,WR,SEA
Dalevon Campbell,WR,LAC
Kyrese Rowan,WR,DEN
Mitch Van Vooren,WR,NE
Jaden Smith,WR,DAL
Dohnte Meyers,WR,CIN
Elijah Sarratt,WR,BAL
CJ Daniels,WR,LAR
Germie Bernard,WR,PIT
Omar Cooper,WR,NYJ
CJ Donaldson,RB,NO
Carnell Tate,WR,TEN
Jordyn Tyson,WR,NO
Malachi Fields,WR,NYG
Jadarian Price,RB,SEA
Nicholas Singleton,RB,TEN
Caleb Douglas,WR,MIA
Reggie Virgil,WR,ARI
KC Concepcion,WR,CLE
Antonio Williams,WR,WAS
Adam Randall,RB,BAL
Mike Washington,RB,LV
Chris Bell,WR,MIA
Emmanuel Henderson,WR,SEA
Dean Connors,RB,LAR
Eric Rivers,WR,TB
Noah Thomas,WR,CIN
Zachariah Branch,WR,ATL
Jordan Hudson,WR,DAL
DT Sheffield,WR,NYJ
Anthony Hankerson,RB,MIA
Malik Benson,WR,LV
Dane Key,WR,DEN
Emmett Johnson,RB,KC
Kevin Coleman,WR,MIA
Davon Booth,RB,CLE
Vinny Anthony,WR,ATL
Jonah Coleman,RB,DEN
Denzel Boston,WR,CLE
J'Mari Taylor,RB,JAX
Trebor Pena,WR,JAX
Brenen Thompson,WR,LAC
Jeff Caldwell,WR,KC
Josh Cameron,WR,JAX
Skyler Bell,WR,BUF
Jam Miller,RB,NE
Kaytron Allen,RB,WAS
Donaven McCulley,WR,MIA
Chase Roberts,WR,LV
Zavion Thomas,WR,CHI
Kaelon Black,RB,SF
Roman Hemby,RB,LV
De'Zhaun Stribling,WR,SF
Robert Henry,RB,WAS
Jaydn Ott,RB,KC
Bryce Lance,WR,NO
Eli Heidenreich,RB,PIT
Seth McGowan,RB,IND
Kentrel Bullock,RB,CIN
Noah Whittington,RB,HOU
DeaMonte Trayanum,RB,NYJ
Colbie Young,WR,CIN
Kaden Wetjen,WR,PIT
Barion Brown,WR,NO
Lewis Bond,WR,HOU
Anthony Smith,WR,DAL
Cash Jones,RB,ATL
Tyren Montgomery,WR,TEN
Gregory Desrosiers,RB,LAC
Sincere Brown,WR,LAC
Jerand Bradley,WR,LAC
Marcus Sanders,WR,MIN
Dillon Bell,WR,MIN
Devonte Ross,WR,LAC
Michael Wortham,WR,JAX
Brady Boyd,WR,JAX
Will Pauling,WR,SF
Wesley Grimes,WR,SF
Harrison Wallace,WR,ARI
Chris Hilton,WR,GB
Ja'Mori Maclin,WR,BUF
Max Tomczak,WR,BUF
Kobe Prentice,WR,NE
Camden Brown,WR,DAL
Joseph Manjack,WR,DEN
Cameron Ross,WR,DEN
Kole Wilson,WR,CLE
TJ Harden,RB,SEA
Jaden Bradley,WR,WAS
J. Michael Sturdivant,WR,GB
Hank Beatty,WR,TEN
EJ Smith,RB,KC
Terion Stewart,RB,KC
Raylen Sharpe,WR,IND
E.J. Williams,WR,LV
Malik McClain,WR,NYJ
Caullin Lacy,WR,NYJ
Kyle Dixon,WR,NE
Cortez Braham,WR,BAL
Octavian Smith,WR,BAL
Dontae McMillan,RB,BAL
Daniel Sobkowicz,WR,HOU
Treyvhon Saunders,WR,HOU
Sam Scott,RB,NYJ
Jaden Nixon,RB,GB
Elijah Tau-Tolliver,RB,BAL
Xavier Loyd,WR,KC
Joshua Pitsenberger,RB,HOU
Sahmir Hagans,WR,IND
E.J. Horton,WR,IND
Omari Kelly,WR,CHI
Damon Bankston,RB,NYG
Cameron Dorner,WR,NE
Nick DeGennaro,WR,NE
Terrill Davis,WR,MIN
Anderson Castle,RB,IND
Miles Davis,RB,CAR
Brandon Hayes,WR,PHI
Kyre Duplessis,WR,DEN
Roydell Williams,RB,IND
Jeff Weimer,WR,KC
Justin Jones,RB,SEA
